prplRqstNo,instRcptSn
1AB-2509-0011592,201095605
1AB-2509-0011584,201095603
1AB-2509-0011581,201095594
1AB-2509-0011574,201095593
1AB-2509-0011555,201095588
1AB-2509-0011554,201095581
1AB-2509-0011545,201095577
1AB-2509-0011520,201095570
1AB-2509-0011513,201095568
1AB-2509-0011487,201095556
1AB-2509-0011480,201095546
1AB-2509-0011472,201097083
1AB-2509-0011448,201095538
1AB-2509-0011431,201095518
1AB-2509-0011374,201095516
1AB-2509-0011437,201095507
1AB-2509-0011430,201095502
1AB-2509-0011426,201095480
1AB-2509-0011424,201095479
1AB-2509-0011406,201095476
1AB-2509-0011360,201095475
1AB-2509-0011403,201095473
1AB-2509-0011401,201095470
1AB-2509-0011409,201095469
1AB-2509-0011386,201095459
1AB-2509-0011381,201095448
1AB-2509-0011344,201095438
1AB-2509-0011321,201095405
1AB-2509-0011303,201095378
1AB-2509-0011297,201095376
1AB-2509-0011308,201095373
1AB-2509-0011298,201095368
1AB-2509-0011302,201095366
1AB-2509-0011290,201095359
1AB-2509-0011277,201095350
1AB-2509-0011276,201095349
1AB-2509-0011274,201095347
1AB-2509-0011264,201095341
1AB-2509-0011261,201095338
1AB-2509-0011244,201095331
1AB-2509-0011223,201095317
1AB-2509-0011233,201095309
1AB-2509-0011233,201097101
1AB-2509-0011213,201095289
1AB-2509-0011193,201095284
1AB-2509-0011160,201095254
1AB-2509-0011150,201095243
1AB-2509-0011154,201095240
1AB-2509-0011121,201095239
1AB-2509-0011149,201095236
1AB-2509-0011148,201095235
1AB-2509-0011127,201095226
1AB-2509-0011095,201095200
1AB-2509-0011069,201095199
1AB-2509-0011076,201095190
1AB-2509-0011086,201095188
1AB-2509-0011027,201095146
1AB-2509-0011038,201095137
1AB-2509-0011035,201095136
1AB-2509-0011036,201095135
1AB-2509-0011026,201095134
1AB-2509-0011023,201095132
1AB-2509-0011022,201095130
1AB-2509-0011021,201095128
1AB-2509-0011017,201095125
1AB-2509-0011015,201095123
1AB-2509-0011009,201095120
1AB-2509-0011000,201095113
1AB-2509-0011000,201095172
1AB-2509-0010984,201095100
1AB-2509-0010976,201095091
1AB-2509-0010974,201095090
1AB-2509-0010973,201095088
1AB-2509-0010969,201095087
1AB-2509-0010967,201095085
1AB-2509-0010962,201095083
1AB-2509-0010955,201095080
1AB-2509-0010957,201095077
1AB-2509-0010953,201095075
1AB-2509-0010929,201095069
1AB-2509-0010933,201095065
1AB-2509-0010918,201095063
1AB-2509-0010917,201095060
1AB-2509-0010910,201095057
1AB-2509-0010907,201095051
1AB-2509-0010900,201095047
1AB-2509-0010898,201095045
1AB-2509-0010899,201095044
1AB-2509-0010894,201095040
1AB-2509-0010886,201095037
1AB-2509-0010876,201095035
1AB-2509-0010883,201095034
1AB-2509-0010865,201095025
1AB-2509-0010864,201095021
1AB-2509-0010863,201095018
1AB-2509-0010849,201095015
1AB-2509-0010854,201095014
1AB-2509-0010843,201095012
1AB-2509-0010846,201095011
1AB-2509-0010837,201095009
1AB-2509-0010840,201095008
1AB-2509-0010839,201095006
1AB-2509-0010839,201097106
1AB-2509-0010817,201095005
1AB-2509-0010828,201095003
1AB-2509-0010835,201095163
1AB-2509-0010835,201095002
1AB-2509-0010801,201094997
1AB-2509-0010826,201094996
1AB-2509-0010819,201094993
1AB-2509-0010818,201094989
1AB-2509-0010793,201094984
1AB-2509-0010786,201094920
1AB-2509-0010781,201095162
1AB-2509-0010781,201094910
1AB-2509-0010774,201094905
1AB-2509-0010719,201094902
1AB-2509-0010749,201094893
1AB-2509-0010713,201094887
1AB-2509-0010750,201094885
1AB-2509-0010756,201094883
1AB-2509-0010735,201094865
1AB-2509-0010694,201094825
1AB-2509-0010685,201094811
1AB-2509-0010655,201094774
1AB-2509-0010657,201094768
1AB-2509-0010647,201094763
1AB-2509-0010642,201094755
1AB-2509-0010627,201094747
1AB-2509-0010620,201095169
1AB-2509-0010611,201094739
1AB-2509-0010609,201094738
1AB-2509-0010526,201094736
1AB-2509-0010586,201094731
1AB-2509-0010566,201094722
1AB-2509-0010589,201094720
1AB-2509-0010585,201094717
1AB-2509-0010550,201094714
1AB-2509-0010491,201094709
1AB-2509-0010528,201094704
